"COMPANY","BUSINESSUNIT","ASSET","ASSETNAME","EQUIPMENTTYPE","PARENTASSET","COMPANYLEVEL"
"ORANGE","CAL-FORJA","600003593","FC_CL_04_UTA_PB_PASILLO TECN","CLTCVS","600000845",8
"ORANGE","CAL-FORJA","600003594","FC_CL_05_UTA_PB_PASILLO TECN","CLTCVS","600000846",8
"ORANGE","MAD-ULISE","600003373","CSAI_15_P2_S. HOUSING_ SAI 5 NW - SUM A","CDRCBT","600003267",8
"ORANGE","MAD-ULISE","600003374","CSAI_16_P2_S. HOUSING_ SAI 5 NW - SUM B","CDRCBT","600003267",8
"ORANGE","CAT-GARCI","400000009","CLC_15  CLIMATIZADOR CL1 VAC","CLCFNC","400000019",7
"ORANGE","CAT-GARCI","400000010","CLC_11-A  CLIMATIZADOR CL1 VAV","CLCFNC","400000019",7
"ORANGE","CAT-GARCI","400000011","CLC_12-A  CLIMATIZADOR CL2 VAV","CLCFNC","400000019",7
"ORANGE","CAT-GARCI","400000012","CLC_11-B  CLIMATIZADOR CL3 VAV","CLCFNC","400000019",7
"ORANGE","CAT-GARCI","400000013","CLC_12-B  CLIMATIZADOR CL4 VAV","CLCFNC","400000019",7
"ORANGE","CAT-GARCI","400000014","CLC_16  CLIMATIZADOR CL2 VAC","CLCFNC","400000019",7
"ORANGE","CAL-FORJA","400001627","CSAI BAT_01_PB_SALA BATERIAS","CDRCBT","CAL-FORJA-SAI",6
"ORANGE","MAD-ULISE","600002660","SalaReu_Trípoli_P03","SLREUN","MAD-ULISE-REH",6
"ORANGE","AND-MATEO","600002739","SalaReu_Tasmania_P00","SLREUN","AND-MATEO-REH",6
"ORANGE","AND-MATEO","600002740","SalaReu_Newcastle_P01","SLREUN","AND-MATEO-REH",6
"ORANGE","CAL-FORJA","600002741","SalaReu_Nassau_P00","SLREUN","CAL-FORJA-REH",6
"ORANGE","CAL-FORJA","600002742","SalaReu_Guadalupe_P00","SLREUN","CAL-FORJA-REH",6
"ORANGE","CAL-FORJA","600002743","SalaReu_San Martín_P00","SLREUN","CAL-FORJA-REH",6
"ORANGE","CAL-FORJA","600002744","SalaReu_Martinica_P01","SLREUN","CAL-FORJA-REH",6
"ORANGE","MAD-ULISE","600003553","CLC_17_P1_FANCOIL_17 P1","CLCFNC","400009090",7
"ORANGE","AND-MATEO","600003420","HUMIDIFICADOR_3_FIJO","CLTHUM","AND-MATEO-CLT",6
"ORANGE","AND-MATEO","600003418","HUMIDIFICADOR_1_FIJO","CLTHUM","AND-MATEO-CLT",6
"ORANGE","AND-MATEO","600003419","HUMIDIFICADOR_2_FIJO","CLTHUM","AND-MATEO-CLT",6
"ORANGE","CAT-GARCI","400000440C","BATERIA CONDENSADORES SERV.CRITICOS","EQPCON","CAT-GARCI-ALI",6
"ORANGE","CAT-GARCI","600003433","CSAI_16_P1_GARITA_SEGURIDAD","CDRCBT","400000373",8
"ORANGE","CAT-GARCI","600003434","CGSAI_4_S-2_SALA ENERGÍA_SAI ABB 1-2","CDRCBT","400000371",7
"ORANGE","MUR-NICAR","600003441","AUTOMATA CONTROL GE_1","GRPATC","600002972",7
